Hatcheries ,Assay Type,Larval Species Tested,Water Type,Filtered/Unfiltered ,Treatment,Sample_ID,Replicate,Alive,Dead,% Mortality,Mortality,Control Average Mort,Control Average Mort  Percent,Percent Viability + Control Mortality,,Date of Assay,Note,,,,,,,,,,,,,,,,,,,Incoming Water 0.22um filter,Incoming Water 10um filter,Incoming Water Unfiltered,Tank Water 0.22um filter,Tank Water Unfiltered,Shed Water 0.22um filter,Shed Water 10um filter,Shed Water Unfiltered,,,,,,,,
XZV-R4,Acute,Mercenaria mercenaria,Tank Water,0.22um filter,Tank Water 0.22um filter,XZV-R4 Acute Tank Water 0.22um filter,3,131,40,23%,23,13,13%,90,,2025-12-12,ciliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XZV-R4,Acute,Mercenaria mercenaria,Tank Water,100 kDa filter,Tank Water 100 kDa filter,XZV-R4 Acute Tank Water 100 kDa filter,1,69,96,58%,58,13,13%,55,,2025-12-12,ciliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XZV-R4,Acute,Mercenaria mercenaria,Tank Water,100 kDa filter,Tank Water 100 kDa filter,XZV-R4 Acute Tank Water 100 kDa filter,2,62,52,46%,46,13,13%,67,,2025-12-12,ciliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XZV-R4,Acute,Mercenaria mercenaria,Tank Water,100 kDa filter,Tank Water 100 kDa filter,XZV-R4 Acute Tank Water 100 kDa filter,3,107,44,29%,29,13,13%,84,,2025-12-12,ciliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y9P-R1,Acute,Mercenaria mercenaria,Tank Water,Unfiltered,Tank Water Unfiltered,Y9P-R1 Acute Tank Water Unfiltered,1,90,19,17%,17,13,13%,96,,2025-12-12,ciliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y9P-R1,Acute,Mercenaria mercenaria,Tank Water,Unfiltered,Tank Water Unfiltered,Y9P-R1 Acute Tank Water Unfiltered,2,109,20,16%,16,13,13%,97,,2025-12-12,ciliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y9P-R1,Acute,Mercenaria mercenaria,Tank Water,Unfiltered,Tank Water Unfiltered,Y9P-R1 Acute Tank Water Unfiltered,3,90,27,23%,23,13,13%,90,,2025-12-12,ciliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y9P-R1,Acute,Mercenaria mercenaria,Tank Water,10um filter,Tank Water 10um filter,Y9P-R1 Acute Tank Water 10um filter,1,94,37,28%,28,13,13%,85,,2025-12-12,ciliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y9P-R1,Acute,Mercenaria mercenaria,Tank Water,10um filter,Tank Water 10um filter,Y9P-R1 Acute Tank Water 10um filter,2,87,31,26%,26,13,13%,87,,2025-12-12,ciliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y9P-R1,Acute,Mercenaria mercenaria,Tank Water,10um filter,Tank Water 10um filter,Y9P-R1 Acute Tank Water 10um filter,3,91,24,21%,21,13,13%,92,,2025-12-12,ciliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y9P-R1,Acute,Mercenaria mercenaria,Tank Water,0.22um filter,Tank Water 0.22um filter,Y9P-R1 Acute Tank Water 0.22um filter,1,166,41,20%,20,13,13%,93,,2025-12-12,ciliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y9P-R1,Acute,Mercenaria mercenaria,Tank Water,0.22um filter,Tank Water 0.22um filter,Y9P-R1 Acute Tank Water 0.22um filter,2,125,68,35%,35,13,13%,78,,2025-12-12,ciliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y9P-R1,Acute,Mercenaria mercenaria,Tank Water,0.22um filter,Tank Water 0.22um filter,Y9P-R1 Acute Tank Water 0.22um filter,3,138,37,21%,21,13,13%,92,,2025-12-12,ciliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y9P-R1,Acute,Mercenaria mercenaria,Tank Water,100 kDa filter,Tank Water 100 kDa filter,Y9P-R1 Acute Tank Water 100 kDa filter,1,143,26,15%,15,13,13%,98,,2025-12-12,ciliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y9P-R1,Acute,Mercenaria mercenaria,Tank Water,100 kDa filter,Tank Water 100 kDa filter,Y9P-R1 Acute Tank Water 100 kDa filter,2,172,25,13%,13,13,13%,100,,2025-12-12,ciliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y9P-R1,Acute,Mercenaria mercenaria,Tank Water,100 kDa filter,Tank Water 100 kDa filter,Y9P-R1 Acute Tank Water 100 kDa filter,3,131,36,22%,22,13,13%,91,,2025-12-12,ciliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V7H-R1,Acute,Mercenaria mercenaria,Tank Water,Unfiltered,Tank Water Unfiltered,V7H-R1 Acute Tank Water Unfiltered,1,108,10,8%,8,13,13%,105,,2025-12-12,ciliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V7H-R1,Acute,Mercenaria mercenaria,Tank Water,Unfiltered,Tank Water Unfiltered,V7H-R1 Acute Tank Water Unfiltered,2,74,10,12%,12,13,13%,101,,2025-12-12,ciliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V7H-R1,Acute,Mercenaria mercenaria,Tank Water,Unfiltered,Tank Water Unfiltered,V7H-R1 Acute Tank Water Unfiltered,3,64,14,18%,18,13,13%,95,,2025-12-12,ciliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V7H-R1,Acute,Mercenaria mercenaria,Tank Water,10um filter,Tank Water 10um filter,V7H-R1 Acute Tank Water 10um filter,1,80,21,21%,21,13,13%,92,,2025-12-12,ciliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V7H-R1,Acute,Mercenaria mercenaria,Tank Water,10um filter,Tank Water 10um filter,V7H-R1 Acute Tank Water 10um filter,2,119,41,26%,26,13,13%,87,,2025-12-12,ciliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V7H-R1,Acute,Mercenaria mercenaria,Tank Water,10um filter,Tank Water 10um filter,V7H-R1 Acute Tank Water 10um filter,3,308,62,17%,17,13,13%,96,,2025-12-12,ciliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V7H-R1,Acute,Mercenaria mercenaria,Tank Water,0.22um filter,Tank Water 0.22um filter,V7H-R1 Acute Tank Water 0.22um filter,1,112,32,22%,22,13,13%,91,,2025-12-12,ciliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V7H-R1,Acute,Mercenaria mercenaria,Tank Water,0.22um filter,Tank Water 0.22um filter,V7H-R1 Acute Tank Water 0.22um filter,2,133,55,29%,29,13,13%,84,,2025-12-12,ciliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V7H-R1,Acute,Mercenaria mercenaria,Tank Water,0.22um filter,Tank Water 0.22um filter,V7H-R1 Acute Tank Water 0.22um filter,3,68,28,29%,29,13,13%,84,,2025-12-12,ciliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V7H-R1,Acute,Mercenaria mercenaria,Tank Water,100 kDa filter,Tank Water 100 kDa filter,V7H-R1 Acute Tank Water 100 kDa filter,1,91,41,31%,31,13,13%,82,,2025-12-12,ciliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V7H-R1,Acute,Mercenaria mercenaria,Tank Water,100 kDa filter,Tank Water 100 kDa filter,V7H-R1 Acute Tank Water 100 kDa filter,2,74,43,37%,37,13,13%,76,,2025-12-12,ciliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V7H-R1,Acute,Mercenaria mercenaria,Tank Water,100 kDa filter,Tank Water 100 kDa filter,V7H-R1 Acute Tank Water 100 kDa filter,3,103,43,29%,29,13,13%,84,,2025-12-12,ciliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGX-R4,Chronic,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,AGX-R4 Chronic Shed Water Unfiltered,1,5,100,95%,95.24,55,55%,60,Shannon,2026-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGX-R4,Chronic,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,AGX-R4 Chronic Shed Water Unfiltered,2,13,167,93%,92.78,55,55%,62,Shannon,2026-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGX-R4,Chronic,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,AGX-R4 Chronic Shed Water Unfiltered,3,38,20,34%,34.48,55,55%,121,Shannon,2026-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGX-R5,Chronic,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,AGX-R5 Chronic Shed Water Unfiltered,1,33,24,42%,42.11,55,55%,113,Shannon,2026-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGX-R5,Chronic,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,AGX-R5 Chronic Shed Water Unfiltered,2,0,41,100%,100.00,55,55%,55,Shannon,2026-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGX-R5,Chronic,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,AGX-R5 Chronic Shed Water Unfiltered,3,53,19,26%,26.39,55,55%,129,Shannon,2026-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGX-R6,Chronic,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,AGX-R6 Chronic Shed Water Unfiltered,1,30,19,39%,38.78,55,55%,116,Shannon,2026-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGX-R6,Chronic,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,AGX-R6 Chronic Shed Water Unfiltered,2,78,15,16%,16.13,55,55%,139,Shannon,2026-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGX-R6,Chronic,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,AGX-R6 Chronic Shed Water Unfiltered,3,108,36,25%,25.00,55,55%,130,Shannon,2026-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNT-R3,Chronic,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,FNT-R3 Chronic Shed Water Unfiltered,1,126,4,3%,3.08,55,55%,152,Shannon,2026-04-08,"all were alive, did not do complete count just wrote 100 and 0 to record no death occured ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNT-R3,Chronic,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,FNT-R3 Chronic Shed Water Unfiltered,2,152,14,8%,8.43,55,55%,147,Shannon,2026-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNT-R3,Chronic,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,FNT-R3 Chronic Shed Water Unfiltered,3,162,21,11%,11.48,55,55%,144,Shannon,2026-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2A-R2,Chronic,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,R2A-R2 Chronic Shed Water Unfiltered,1,143,16,10%,10.06,55,55%,145,Shannon,2026-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2A-R2,Chronic,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,R2A-R2 Chronic Shed Water Unfiltered,2,146,8,5%,5.19,55,55%,150,Shannon,2026-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2A-R2,Chronic,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,R2A-R2 Chronic Shed Water Unfiltered,3,119,5,4%,4.03,55,55%,151,Shannon,2026-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2A-R3,Chronic,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,R2A-R3 Chronic Shed Water Unfiltered,1,98,9,8%,8.41,55,55%,147,Shannon,2026-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2A-R3,Chronic,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,R2A-R3 Chronic Shed Water Unfiltered,2,145,7,5%,4.61,55,55%,150,Shannon,2026-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2A-R3,Chronic,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,R2A-R3 Chronic Shed Water Unfiltered,3,75,4,5%,5.06,55,55%,150,Shannon,2026-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2A-R4,Chronic,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,R2A-R4 Chronic Shed Water Unfiltered,1,228,5,2%,2.15,55,55%,153,Shannon,2026-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2A-R4,Chronic,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,R2A-R4 Chronic Shed Water Unfiltered,2,159,3,2%,1.85,55,55%,153,Shannon,2026-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2A-R4,Chronic,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,R2A-R4 Chronic Shed Water Unfiltered,3,170,9,5%,5.03,55,55%,150,Shannon,2026-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2A-R5,Chronic,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,R2A-R5 Chronic Shed Water Unfiltered,1,69,44,39%,38.94,55,55%,116,Shannon,2026-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2A-R5,Chronic,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,R2A-R5 Chronic Shed Water Unfiltered,2,55,11,17%,16.67,55,55%,138,Shannon,2026-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2A-R5,Chronic,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,R2A-R5 Chronic Shed Water Unfiltered,3,28,13,32%,31.71,55,55%,123,Shannon,2026-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R3,Chronic,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,S3W-R3 Chronic Shed Water Unfiltered,1,155,7,4%,4.32,55,55%,151,Shannon,2026-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R3,Chronic,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,S3W-R3 Chronic Shed Water Unfiltered,2,127,7,5%,5.22,55,55%,150,Shannon,2026-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R3,Chronic,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,S3W-R3 Chronic Shed Water Unfiltered,3,224,3,1%,1.32,55,55%,154,Shannon,2026-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGX-R2,Chronic,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,AGX-R2 Chronic Shed Water Unfiltered,1,11,183,94%,94.33,55,55%,61,Shannon,2026-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGX-R2,Chronic,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,AGX-R2 Chronic Shed Water Unfiltered,2,36,119,77%,76.77,55,55%,78,Shannon,2026-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGX-R2,Chronic,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,AGX-R2 Chronic Shed Water Unfiltered,3,0,150,100%,100.00,55,55%,55,Shannon,2026-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FYC-R2,Chronic,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,FYC-R2 Chronic Shed Water Unfiltered,1,19,54,74%,73.97,55,55%,81,Shannon,2026-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FYC-R2,Chronic,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,FYC-R2 Chronic Shed Water Unfiltered,2,35,21,38%,37.50,55,55%,118,Shannon,2026-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FYC-R2,Chronic,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,FYC-R2 Chronic Shed Water Unfiltered,3,162,11,6%,6.36,55,55%,149,Shannon,2026-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R1,Chronic,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,RRD-R1 Chronic Shed Water Unfiltered,1,0,167,100%,100.00,55,55%,55,Shannon,2026-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R1,Chronic,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,RRD-R1 Chronic Shed Water Unfiltered,2,31,33,52%,51.56,55,55%,103,Shannon,2026-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R1,Chronic,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,RRD-R1 Chronic Shed Water Unfiltered,3,32,32,50%,50.00,55,55%,105,Shannon,2026-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPH-R2,Chronic,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,YPH-R2 Chronic Shed Water Unfiltered,1,67,2,3%,2.90,55,55%,152,Shannon,2026-04-08,"all were alive, did not do complete count just wrote 100 and 0 to record no death occured ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPH-R2,Chronic,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,YPH-R2 Chronic Shed Water Unfiltered,2,190,5,3%,2.56,55,55%,152,Shannon,2026-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPH-R2,Chronic,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,YPH-R2 Chronic Shed Water Unfiltered,3,95,5,5%,5.00,55,55%,150,Shannon,2026-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
